[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 83, Y= 50, Z= -109
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 56, Z= -75
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 67, Y= 25, Z= -77
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 59, Y= 62, Z= -82
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 72, Y= 11, Z= -120
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 42, Z= -75
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 92, Y= 80, Z= -73
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 82, Y= 51, Z= -86
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 73, Y= 42, Z= -81
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 73, Y= 47, Z= -129
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 87, Y= 54, Z= -81
[2024-03-28 16:39:17] [world_the_end] [f3d28cb0-7225-3cb1-baeb-2dadd2be89ae] The Player <Tester> has primed a TNT at X= 91, Y= 32, Z= -74
