[2024-03-29 01:23:25] [world] The Player <BTC> has crafted 1 of CHEST at X= -3571, Y= 9, Z= 152
[2024-03-29 01:23:25] [world] The Player <BTC> has crafted 1 of CHEST at X= -3571, Y= 9, Z= 152
[2024-03-29 01:23:26] [world] The Player <BTC> has crafted 1 of CHEST at X= -3571, Y= 9, Z= 152
[2024-03-29 01:23:26] [world] The Player <BTC> has crafted 1 of CHEST at X= -3571, Y= 9, Z= 152
[2024-03-29 16:27:41] [world] The Player <xcpc> has crafted 1 of FURNACE at X= -313, Y= 64, Z= 275
[2024-03-29 16:28:47] [world] The Player <xcpc> has crafted 1 of IRON SPADE at X= -308, Y= 70, Z= 275
[2024-03-29 16:29:05] [world] The Player <xcpc> has crafted 4 of WOOD at X= -310, Y= 70, Z= 274
[2024-03-29 16:29:55] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -308, Y= 70, Z= 274
[2024-03-29 16:31:09] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -310, Y= 70, Z= 274
[2024-03-29 16:31:57] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -309, Y= 70, Z= 275
[2024-03-29 16:36:05] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -310, Y= 70, Z= 275
[2024-03-29 16:36:07] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -310, Y= 70, Z= 275
[2024-03-29 16:36:46] [world] The Player <xcpc> has crafted 4 of WOOD STAIRS at X= -308, Y= 70, Z= 274
[2024-03-29 16:37:33] [world] The Player <xcpc> has crafted 3 of INK SACK at X= -308, Y= 70, Z= 275
[2024-03-29 16:41:01] [world] The Player <xcpc> has crafted 4 of WOOD at X= -309, Y= 70, Z= 274
[2024-03-29 16:41:05] [world] The Player <xcpc> has crafted 1 of CHEST at X= -309, Y= 70, Z= 274
[2024-03-29 16:44:29] [world] The Player <xcpc> has crafted 4 of STONE at X= -310, Y= 70, Z= 274
[2024-03-29 16:44:43] [world] The Player <xcpc> has crafted 4 of STONE at X= -310, Y= 70, Z= 274
[2024-03-29 16:44:46] [world] The Player <xcpc> has crafted 4 of STONE at X= -310, Y= 70, Z= 274
[2024-03-29 16:48:25] [world] The Player <xcpc> has crafted 1 of ITEM FRAME at X= -308, Y= 70, Z= 274
[2024-03-29 16:48:44] [world] The Player <xcpc> has crafted 1 of ANVIL at X= -307, Y= 70, Z= 275
[2024-03-29 16:49:25] [world] The Player <xcpc> has crafted 1 of IRON BLOCK at X= -308, Y= 70, Z= 275
[2024-03-29 17:13:31] [world] The Player <xcpc> has crafted 9 of DIAMOND at X= -308, Y= 70, Z= 278
[2024-03-29 17:28:09] [world] The Player <xcpc> has crafted 1 of DIAMOND PICKAXE at X= -308, Y= 70, Z= 275
[2024-03-29 17:28:57] [world] The Player <xcpc> has crafted 4 of WOOD at X= -308, Y= 70, Z= 275
