[2024-03-20 22:51:24] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:24] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:24] [world] The Player <hexa> has crafted 4 of WOOD at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:51:33] [world] The Player <hexa> has crafted 3 of SIGN at X= 999996, Y= 60, Z= 1000000
[2024-03-20 22:52:52] [world] The Player <A_Random_Person> has crafted 9 of GOLD NUGGET at X= 1800, Y= 38, Z= 291
[2024-03-20 22:52:52] [world] The Player <A_Random_Person> has crafted 9 of GOLD NUGGET at X= 1800, Y= 38, Z= 291
[2024-03-20 22:52:52] [world] The Player <A_Random_Person> has crafted 9 of GOLD NUGGET at X= 1800, Y= 38, Z= 291
[2024-03-20 22:52:52] [world] The Player <A_Random_Person> has crafted 9 of GOLD NUGGET at X= 1800, Y= 38, Z= 291
[2024-03-20 22:52:52] [world] The Player <A_Random_Person> has crafted 9 of GOLD NUGGET at X= 1800, Y= 38, Z= 291
[2024-03-20 22:53:03] [world] The Player <A_Random_Person> has crafted 1 of GOLDEN CARROT at X= 1800, Y= 38, Z= 291
[2024-03-20 22:53:03] [world] The Player <A_Random_Person> has crafted 1 of GOLDEN CARROT at X= 1800, Y= 38, Z= 291
[2024-03-20 22:53:03] [world] The Player <A_Random_Person> has crafted 1 of GOLDEN CARROT at X= 1800, Y= 38, Z= 291
[2024-03-20 22:53:03] [world] The Player <A_Random_Person> has crafted 1 of GOLDEN CARROT at X= 1800, Y= 38, Z= 291
[2024-03-20 22:53:03] [world] The Player <A_Random_Person> has crafted 1 of GOLDEN CARROT at X= 1800, Y= 38, Z= 291
[2024-03-20 23:03:04] [world] The Player <A_Random_Person> has crafted 1 of LEATHER at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:04] [world] The Player <A_Random_Person> has crafted 1 of LEATHER at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:05] [world] The Player <A_Random_Person> has crafted 1 of LEATHER at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:05] [world] The Player <A_Random_Person> has crafted 1 of LEATHER at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:05] [world] The Player <A_Random_Person> has crafted 1 of LEATHER at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:14] [world] The Player <A_Random_Person> has crafted 1 of LEATHER HELMET at X= 1802, Y= 38, Z= 290
[2024-03-20 23:03:32] [world] The Player <A_Random_Person> has crafted 1 of INK SACK at X= 1801, Y= 38, Z= 283
[2024-03-20 23:03:32] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1801, Y= 38, Z= 289
[2024-03-20 23:03:33] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1801, Y= 38, Z= 289
[2024-03-20 23:03:33] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1801, Y= 38, Z= 289
[2024-03-20 23:03:33] [world] The Player <astronomy> has crafted 4 of SMOOTH BRICK at X= 1801, Y= 38, Z= 289
[2024-03-20 23:03:35] [world] The Player <A_Random_Person> has crafted 1 of LEATHER HELMET at X= 1801, Y= 38, Z= 283
[2024-03-20 23:24:51] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:52] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:52] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:52] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:52] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:52] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:53] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:53] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:53] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:53] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:53] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
[2024-03-20 23:24:54] [world] The Player <A_Random_Person> has crafted 1 of EYE OF ENDER at X= -549, Y= 88, Z= 245
