[2024-03-18 11:29:45] [world] The Player <sharky> has picked 4 of SANDSTONE at X= -541, Y= 80, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:29:59] [world] The Player <sharky> has picked 2 of SAND at X= -541, Y= 80, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:30:02] [world] The Player <sharky> has picked 3 of SAND at X= -541, Y= 80, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:30:16] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -541, Y= 82, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:30:18] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -542, Y= 81, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:30:24] [world] The Player <sharky> has picked 1 of TORCH at X= -528, Y= 70, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:30:43] [world] The Player <sharky> has picked 3 of SANDSTONE at X= -541, Y= 82, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:30:48] [world] The Player <sharky> has picked 6 of SANDSTONE at X= -542, Y= 81, Z= -467 that had [] enchantment(s) |  
[2024-03-18 11:30:53] [world] The Player <sharky> has picked 1 of SAND at X= -543, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:30:55] [world] The Player <sharky> has picked 2 of SAND at X= -543, Y= 82, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:33] [world_nether] The Player <The_Amazing_Yao> has picked 1 of COBBLESTONE_STAIRS at X= -64, Y= 81, Z= 144 that had [] enchantment(s) |  
[2024-03-18 11:31:40] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 91, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:41] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 90, Z= -464 that had [] enchantment(s) |  
[2024-03-18 11:31:42] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 89, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:49] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 88, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:50] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 87, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:52] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 86, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:31:54] [world] The Player <proman50> has picked 2 of PORK at X= -545, Y= 73, Z= 222 that had [] enchantment(s) |  
[2024-03-18 11:31:55] [world] The Player <proman50> has picked 1 of FURNACE at X= -546, Y= 72, Z= 223 that had [] enchantment(s) |  
[2024-03-18 11:31:55] [world] The Player <proman50> has picked 1 of GRILLED_PORK at X= -545, Y= 72, Z= 224 that had [] enchantment(s) |  
[2024-03-18 11:32:01] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 85, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:01] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 84, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:09] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -542, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:32:10] [world] The Player <sharky> has picked 1 of SANDSTONE at X= -543, Y= 82, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:10] [world_nether] The Player <The_Amazing_Yao> has picked 1 of COBBLESTONE_STAIRS at X= -64, Y= 85, Z= 144 that had [] enchantment(s) |  
[2024-03-18 11:32:19] [world] The Player <sharky> has picked 2 of SANDSTONE at X= -542, Y= 81, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:24] [world] The Player <sharky> has picked 3 of SAND at X= -542, Y= 81, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:25] [world] The Player <sharky> has picked 1 of SAND at X= -542, Y= 81, Z= -465 that had [] enchantment(s) |  
[2024-03-18 11:32:25] [world] The Player <sharky> has picked 1 of SAND at X= -542, Y= 82, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:32:55] [world] The Player <sharky> has picked 1 of SAND at X= -543, Y= 90, Z= -466 that had [] enchantment(s) |  
[2024-03-18 11:34:16] [world] The Player <sharky> has picked 2 of SAND at X= -538, Y= 78, Z= -467 that had [] enchantment(s) |  
