[2024-03-24 23:00:19] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 54, Z= 324
[2024-03-24 23:00:19] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 53, Z= 324
[2024-03-24 23:00:22] [world] The Player <GolemDaWanderer> has broke STONE at X= -556, Y= 55, Z= 328
[2024-03-24 23:02:06] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10147, Y= 62, Z= 4112
[2024-03-24 23:02:13] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10147, Y= 62, Z= 4113
[2024-03-24 23:02:23] [world] The Player <GolemDaWanderer> has broke COBBLESTONE at X= -10147, Y= 61, Z= 4113
[2024-03-24 23:02:33] [world] The Player <GolemDaWanderer> has broke WOOD at X= -10147, Y= 62, Z= 4116
[2024-03-24 23:02:38] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10148, Y= 62, Z= 4116
[2024-03-24 23:03:03] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10157, Y= 64, Z= 4118
[2024-03-24 23:03:04] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10157, Y= 64, Z= 4117
[2024-03-24 23:03:04] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10157, Y= 63, Z= 4117
[2024-03-24 23:03:05] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10157, Y= 63, Z= 4116
[2024-03-24 23:03:05] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10157, Y= 63, Z= 4115
[2024-03-24 23:03:06] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10156, Y= 63, Z= 4115
[2024-03-24 23:03:07] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10156, Y= 63, Z= 4116
[2024-03-24 23:03:07] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10156, Y= 63, Z= 4117
[2024-03-24 23:03:08] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10156, Y= 64, Z= 4117
[2024-03-24 23:03:09] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10156, Y= 64, Z= 4118
[2024-03-24 23:03:09] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10155, Y= 64, Z= 4117
[2024-03-24 23:03:10] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10155, Y= 63, Z= 4117
[2024-03-24 23:03:10] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10155, Y= 63, Z= 4116
[2024-03-24 23:03:11] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10155, Y= 64, Z= 4115
[2024-03-24 23:03:12] [world] The Player <GolemDaWanderer> has broke BOOKSHELF at X= -10155, Y= 63, Z= 4115
[2024-03-24 23:03:20] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 62, Z= 4119
[2024-03-24 23:03:21] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 61, Z= 4119
[2024-03-24 23:03:24] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 62, Z= 4119
[2024-03-24 23:03:25] [world] The Player <GolemDaWanderer> has broke STONE at X= -10157, Y= 61, Z= 4119
[2024-03-24 23:03:26] [world] The Player <GolemDaWanderer> has broke STONE at X= -10156, Y= 62, Z= 4120
