[2024-03-20 12:46:51] [world] The Player <NezukoChan> has died with 3 level(s) at X= -546, Y= 68, Z= 268 | caused by ENTITY_ATTACK | 
[2024-03-20 12:47:35] [world] The Player <sharky> has died with 4 level(s) at X= -502, Y= 78, Z= -431 | caused by DROWNING | 
[2024-03-20 12:47:46] [world] The Player <hexa> has died with 12 level(s) at X= -553, Y= 59, Z= 293 | caused by FIRE_TICK | 
[2024-03-20 12:52:33] [world] The Player <digbick> has died with 18 level(s) at X= -687, Y= 71, Z= 315 | caused by Player | hexa
[2024-03-20 12:53:34] [world] The Player <digbick> has died with 18 level(s) at X= -685, Y= 74, Z= 313 | caused by Player | hexa
[2024-03-20 12:54:33] [world] The Player <digbick> has died with 18 level(s) at X= -683, Y= 71, Z= 312 | caused by Player | NezukoChan
[2024-03-20 13:53:56] [world] The Player <MrBlob2U> has died with 28 level(s) at X= -494, Y= 77, Z= -504 | caused by Player | sharky
[2024-03-20 13:54:24] [world] The Player <MrBlob2U> has died with 28 level(s) at X= -494, Y= 77, Z= -506 | caused by Player | sharky
[2024-03-20 13:56:17] [world] The Player <kumquat> has died with 0 level(s) at X= -555, Y= 63, Z= 279 | caused by ENTITY_ATTACK | 
[2024-03-20 13:56:46] [world] The Player <Sword4001> has died with 16 level(s) at X= -585, Y= 70, Z= 215 | caused by DROWNING | 
[2024-03-20 13:58:17] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 105, Y= -65, Z= 0 | caused by Player | WienerDogFace
[2024-03-20 13:58:21] [world] The Player <kumquat> has died with 0 level(s) at X= -588, Y= 68, Z= 259 | caused by Player | Corner1
[2024-03-20 13:58:29] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 105, Y= -124, Z= 0 | caused by VOID | 
[2024-03-20 13:58:52] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 96, Y= 50, Z= 0 | caused by Player | WienerDogFace
[2024-03-20 13:59:11] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 100, Y= 49, Z= -1 | caused by Player | WienerDogFace
[2024-03-20 13:59:24] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -192, Y= 31, Z= 428 | caused by LAVA | 
[2024-03-20 13:59:30] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 110, Y= -162, Z= -4 | caused by VOID | 
[2024-03-20 14:00:05] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 110, Y= -212, Z= -4 | caused by VOID | 
[2024-03-20 14:00:24] [world] The Player <digbick> has died with 18 level(s) at X= -566, Y= 57, Z= 295 | caused by FIRE_TICK | 
[2024-03-20 14:00:36] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 24, Z= 491 | caused by LAVA | 
[2024-03-20 14:00:48] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 26, Z= 491 | caused by LAVA | 
[2024-03-20 14:00:53] [world] The Player <MrBlob2U> has died with 29 level(s) at X= -739, Y= 11, Z= 202 | caused by Player | character
[2024-03-20 14:00:59] [world_the_end] The Player <somebody139> has died with 4 level(s) at X= 100, Y= 37, Z= -1 | caused by Player | WienerDogFace
[2024-03-20 14:01:00] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 29, Z= 491 | caused by LAVA | 
[2024-03-20 14:01:19] [world_the_end] The Player <somebody139> has died with 5 level(s) at X= 94, Y= 17, Z= -3 | caused by Player | WienerDogFace
[2024-03-20 14:01:24] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 28, Z= 491 | caused by LAVA | 
[2024-03-20 14:01:32] [world] The Player <A_Random_Person> has died with 26 level(s) at X= -563, Y= 64, Z= 240 | caused by FALL | 
[2024-03-20 14:01:39] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 29, Z= 491 | caused by LAVA | 
[2024-03-20 14:01:51] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -271, Y= 31, Z= 491 | caused by LAVA | 
[2024-03-20 14:01:51] [world_the_end] The Player <somebody139> has died with 5 level(s) at X= 95, Y= 22, Z= 5 | caused by FALL | 
[2024-03-20 14:01:59] [world] The Player <qwerty> has died with 19 level(s) at X= 9980, Y= 69, Z= 1140 | caused by Player | Rip_Dogwater
[2024-03-20 14:02:04] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -283, Y= 30, Z= 502 | caused by LAVA | 
